region_id,geography_type,state_name,date,home_value
26,State,Massachusetts,2000-03-31,202653.9866423702
53,State,Tennessee,2000-03-31,114967.5299724751
22,State,Indiana,2000-03-31,99826.40407107607
27,State,Maryland,2000-03-31,154509.11582556294
32,State,Missouri,2000-03-31,99742.75801236097
60,State,Wisconsin,2000-03-31,124360.6478562889
10,State,Colorado,2000-03-31,182031.2206547962
31,State,Minnesota,2000-03-31,129040.09751153
51,State,South Carolina,2000-03-31,116955.48646197969
4,State,Alabama,2000-03-31,102941.06782563293
25,State,Louisiana,2000-03-31,112297.4520029243
24,State,Kentucky,2000-03-31,92061.21559667872
46,State,Oregon,2000-03-31,155229.0076218379
45,State,Oklahoma,2000-03-31,85213.24369837393
11,State,Connecticut,2000-03-31,167688.83170932523
55,State,Utah,2000-03-31,171898.8026679503
19,State,Iowa,2000-03-31,93784.80866981506
42,State,Nevada,2000-03-31,158274.3063810039
6,State,Arkansas,2000-03-31,90556.43081961488
34,State,Mississippi,2000-03-31,91333.06983450656
23,State,Kansas,2000-03-31,91540.24013372128
41,State,New Mexico,2000-03-31,
38,State,Nebraska,2000-03-31,118861.41575480351
20,State,Idaho,2000-03-31,127018.14154825604
61,State,West Virginia,2000-03-31,75073.7120034391
18,State,Hawaii,2000-03-31,195425.46326957725
39,State,New Hampshire,2000-03-31,138449.78923506828
28,State,Maine,2000-03-31,111014.71608312064
50,State,Rhode Island,2000-03-31,137260.65241870066
35,State,Montana,2000-03-31,
13,State,Delaware,2000-03-31,152036.49367659705
52,State,South Dakota,2000-03-31,109758.37427916618
37,State,North Dakota,2000-03-31,
3,State,Alaska,2000-03-31,138801.01289372743
12,State,District of Columbia,2000-03-31,164428.04038854607
58,State,Vermont,2000-03-31,119838.30469684309
62,State,Wyoming,2000-03-31,
9,State,California,2000-04-30,194536.19010894655
54,State,Texas,2000-04-30,116069.21205085168
14,State,Florida,2000-04-30,110778.53019270768
43,State,New York,2000-04-30,156254.95071931047
47,State,Pennsylvania,2000-04-30,102553.28580490904
21,State,Illinois,2000-04-30,133231.49036516808
44,State,Ohio,2000-04-30,108086.0403504214
16,State,Georgia,2000-04-30,129772.10587745556
36,State,North Carolina,2000-04-30,132774.4709290456
30,State,Michigan,2000-04-30,120514.30065054313
40,State,New Jersey,2000-04-30,174539.26382143365
56,State,Virginia,2000-04-30,128332.75402540046
59,State,Washington,2000-04-30,180589.59735246756
8,State,Arizona,2000-04-30,138478.3616352042
26,State,Massachusetts,2000-04-30,204228.06839224847
53,State,Tennessee,2000-04-30,115202.46815923908
22,State,Indiana,2000-04-30,99356.3903961876
27,State,Maryland,2000-04-30,154773.13070264968
32,State,Missouri,2000-04-30,100141.66417157992
60,State,Wisconsin,2000-04-30,124560.28061974542
10,State,Colorado,2000-04-30,183616.46457377568
31,State,Minnesota,2000-04-30,129982.58612895932
51,State,South Carolina,2000-04-30,117435.8413390278
4,State,Alabama,2000-04-30,103209.36095638912
25,State,Louisiana,2000-04-30,112675.63592069788
24,State,Kentucky,2000-04-30,92275.81457069096
46,State,Oregon,2000-04-30,155880.68481756377
45,State,Oklahoma,2000-04-30,85510.90822966538
11,State,Connecticut,2000-04-30,168810.24043835007
55,State,Utah,2000-04-30,172269.2721660532
19,State,Iowa,2000-04-30,94148.90109143444
42,State,Nevada,2000-04-30,158834.75145436687
6,State,Arkansas,2000-04-30,90848.78080654908
34,State,Mississippi,2000-04-30,91398.95385383152
23,State,Kansas,2000-04-30,91698.28905530195
41,State,New Mexico,2000-04-30,
38,State,Nebraska,2000-04-30,119133.93635545082
20,State,Idaho,2000-04-30,127119.45586526315
61,State,West Virginia,2000-04-30,75135.11381601273
18,State,Hawaii,2000-04-30,195945.2009037549
39,State,New Hampshire,2000-04-30,139286.3947711178
28,State,Maine,2000-04-30,111736.69497274456
50,State,Rhode Island,2000-04-30,138543.9759606115
35,State,Montana,2000-04-30,
13,State,Delaware,2000-04-30,152707.67785243798
52,State,South Dakota,2000-04-30,109316.24014524806
37,State,North Dakota,2000-04-30,
